"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Jul 15 16:56:55 GMT 2022","Fri Jul 15 16:56:55 GMT 2022","146","","TestList","","TestList","TestNumber","TestNumber()",""
"broken","Fri Jul 15 16:56:55 GMT 2022","Fri Jul 15 16:56:55 GMT 2022","224","","TestInputFields","","TestInputFields","TestSumInvalidNumbers","TestSumInvalidNumbers()",""
"broken","Fri Jul 15 16:56:56 GMT 2022","Fri Jul 15 16:56:56 GMT 2022","156","","TestAlertBox","","TestAlertBox","TestAlertCANCEL","TestAlertCANCEL()",""
"broken","Fri Jul 15 16:56:56 GMT 2022","Fri Jul 15 16:56:56 GMT 2022","213","","TestAlertBox","","TestAlertBox","TestAlertOK","TestAlertOK()",""
"broken","Fri Jul 15 16:56:56 GMT 2022","Fri Jul 15 16:56:56 GMT 2022","148","","TestRadioButtons","","TestRadioButtons","TestGroupRadio","TestGroupRadio()",""
"broken","Fri Jul 15 16:56:56 GMT 2022","Fri Jul 15 16:56:57 GMT 2022","142","","TestRadioButtons","","TestRadioButtons","TestRadio","TestRadio()",""
"broken","Fri Jul 15 16:56:56 GMT 2022","Fri Jul 15 16:56:56 GMT 2022","153","","TestPagination","","TestPagination","TestPaging","TestPaging()",""
"broken","Fri Jul 15 16:56:55 GMT 2022","Fri Jul 15 16:56:55 GMT 2022","156","","TestList","","TestList","TestNumberAndTrue","TestNumberAndTrue()",""
"broken","Fri Jul 15 16:56:55 GMT 2022","Fri Jul 15 16:56:56 GMT 2022","171","","TestNameCards","","TestNameCards","TestNameCard","TestNameCard()",""
"broken","Fri Jul 15 16:56:55 GMT 2022","Fri Jul 15 16:56:55 GMT 2022","182","","TestInputFields","","TestInputFields","TestSumValidNumbers","TestSumValidNumbers()",""
"broken","Fri Jul 15 16:56:57 GMT 2022","Fri Jul 15 16:56:57 GMT 2022","149","","TestInputForm","","TestInputForm","TestingInputForm","TestingInputForm()",""
"broken","Fri Jul 15 16:56:54 GMT 2022","Fri Jul 15 16:56:55 GMT 2022","738","","TestDownload","","TestDownload","TestDownloadProcess","TestDownloadProcess()",""
